127.0.0.1 - - [16/Sep/2019:19:25:41 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/ HTTP/1.1" 200 11493
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/resort.jpg HTTP/1.1" 200 56248
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/CSS/Basic_table.css HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/logo.png HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/resort2.jpg HTTP/1.1" 200 102822
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/resort3.jpg HTTP/1.1" 200 166450
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/diningroom.jpg HTTP/1.1" 200 128163
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/CSS/Pagination.css HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/food.jpg HTTP/1.1" 200 13413
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:42 +0900] "GET /Resort/img/show.jpg HTTP/1.1" 200 10177
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:25:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:28:44 +0900] "GET /Resort/Admin/login_test.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:28:44 +0900] "GET /Resort/Admin/login.jsp?jump=index.jsp HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:29:13 +0900] "POST /Resort/Admin/login_check.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:29:15 +0900] "GET /Resort/index.jsp HTTP/1.1" 200 11700
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:29:20 +0900] "GET /Resort/index.jsp?contentPage=Reserve/Reserve_list.jsp HTTP/1.1" 200 24129
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:29:25 +0900] "GET /Resort/index.jsp?contentPage=Reserve/Reserve_direct_insert.jsp HTTP/1.1" 200 10932
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:29:28 +0900] "GET /Resort/index.jsp?contentPage=Reserve/Reserve_list.jsp HTTP/1.1" 200 24129
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:02 +0900] "GET /Resort/index.jsp?contentPage=Direction.html HTTP/1.1" 200 11860
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:15 +0900] "GET /Resort/index.jsp?contentPage=PublicTransit.html HTTP/1.1" 200 14034
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:43 +0900] "GET /Resort/index.jsp?contentPage=Comment/Comment_list.jsp HTTP/1.1" 200 17701
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:43 +0900] "GET /Resort/img/file.png HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:43 +0900] "GET /Resort/img/re.png HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:46 +0900] "GET /Resort/index.jsp?contentPage=Gongji/Gongji_list.jsp HTTP/1.1" 200 20142
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:30:48 +0900] "GET /Resort/index.jsp?contentPage=Comment/Comment_list.jsp HTTP/1.1" 200 17701
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:04 +0900] "GET /Resort/mobile/index.jsp?contentPage=Comment/Comment_list.jsp HTTP/1.1" 200 30849
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:04 +0900] "GET /Resort/mobile/img/home_btn.png HTTP/1.1" 200 55937
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:04 +0900] "GET /Resort/mobile/img/back_btn.png HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/resort.jpg HTTP/1.1" 200 56248
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/resort2.jpg HTTP/1.1" 200 102822
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/resort3.jpg HTTP/1.1" 200 166450
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/diningroom.jpg HTTP/1.1" 200 128163
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/food.jpg HTTP/1.1" 200 13413
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/show.jpg HTTP/1.1" 200 10177
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/vipRoom.png HTTP/1.1" 200 597593
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/view.jpg HTTP/1.1" 200 8273
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/bar.jpg HTTP/1.1" 200 8222
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/suit.jpg HTTP/1.1" 200 10692
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:36:05 +0900] "GET /Resort/mobile/img/normalRoom.jpg HTTP/1.1" 200 326015
